발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2023-12-18 02:59:00,12,2,보령,영해,36 | 17 | 48,126 | 27 | 20,양호,운항부주의,접촉,1,14,14,0,0,0,화물선,19900
2023-12-18 02:59:00,12,2,보령,영해,36 | 17 | 48,126 | 27 | 20,양호,운항부주의,접촉,1,4,4,0,0,0,어선,9.77
2023-12-18 02:24:00,12,2,목포,영해,34 | 46 | 41,126 | 20 | 6,양호,정비불량,기관손상,1,4,4,0,0,0,어선,9.77
2023-12-18 00:34:00,12,0,제주,영해,33 | 34 | 9,126 | 34 | 43,양호,정비불량,속구손상,1,9,9,0,0,0,어선,20
2023-12-17 09:09:00,12,9,동해,항계 내,37 | 31 | 42,130 | 49 | 30,풍랑경보,기상악화,침몰,1,0,0,0,0,0,모터보트,6.8
2023-12-17 09:02:00,12,9,부산,영해,34 | 57 | 15,128 | 58 | 53,양호,정비불량,기관손상,1,4,4,0,0,0,예부선,75
2023-12-16 17:34:00,12,17,보령,영해,36 | 0 | 1,126 | 42 | 24,풍랑경보,기상악화,표류,1,0,0,0,0,0,어선,1.77
2023-12-16 15:16:00,12,15,목포,영해,35 | 17 | 57,126 | 3 | 50,황천4급,기상악화,운항저해,1,12,12,0,0,0,예부선,143
2023-12-16 14:29:00,12,14,목포,영해,34 | 47 | 7,126 | 23 | 15,풍랑주의보,관리소홀,화재,1,2,2,0,0,0,어선,46
2023-12-16 11:29:00,12,11,목포,항계 내,34 | 47 | 7,126 | 24 | 29,풍랑주의보,관리소홀,침수,1,0,0,0,0,0,어선,9.77
2023-12-16 04:36:00,12,4,여수,항계 내,34 | 2 | 44,127 | 17 | 47,양호,관리소홀,침수,1,0,0,0,0,0,어선,190
2023-12-15 07:28:00,12,7,제주,영해,34 | 4 | 13,126 | 28 | 19,양호,관리소홀,화재,1,13,13,0,0,0,어선,139
2023-12-14 19:50:00,12,19,목포,영해,33 | 51 | 45,125 | 2 | 23,풍랑주의보,운항부주의,부유물감김,1,8,8,0,0,0,어선,29
