대분류,파일명,컬럼명,null 수,최댓값,최솟값,평균(mean),중앙값(median),최빈값_수치(mode),1분위수(1Q),3분위수(3Q),IQR,분산(variance),표준편차(standard deviation),범위(range),왜도(skewness),첨도(kurtosis),유일값 수,값 중복도 평균,코사인 유사도 수,코사인 평균 유사도,유클리디안 유사도 수,유클리디안 평균 유사도,피어슨 유사도 수,피어슨 평균 유사도,종합 평균 유사도
보건의료,5-4_진료정보_감기_시도.csv,시도지역코드,0,99.0,11.0,40.34021823850351,42.0,11.0,29.0,46.0,17.0,320.9146157808134,17.91408986749853,88.0,1.7305713905801616,4.336779204912721,17,150.94117647058823,116,0.9573875591236596,230,0.7943464527336949,72,0.8893151354335715,0.8975503683696315
보건의료,5-6_진료정보_눈병_시도.csv,시도지역코드,0,99.0,11.0,40.34021823850351,42.0,11.0,29.0,46.0,17.0,320.9146157808134,17.91408986749853,88.0,1.7305713905801616,4.336779204912721,17,150.94117647058823,116,0.9573875591236596,230,0.7943464527336949,72,0.8893151354335715,0.8975503683696315
환경기상,38_대구광역시 북구_특정토양오염관리대상시설_20240726.csv,경도,0,128.757459,128.324877,128.57770765555557,128.5777045,128.5877135,128.554565,128.59975459999998,0.0451895999999862,0.0016693721569436,0.0408579509635962,0.4325820000000249,-1.5668827408855772,17.240449407433474,96,1.03125,106,0.956378738714464,223,0.7285420671314228,97,0.921554843800933,0.8968818464324434
환경기상,25_인천환경공단_청라사업소_소각시설_운영데이터_20221231.csv,시수사용량,0,730.0,0.0,234.15342465753423,173.0,136.0,110.0,330.0,220.0,30002.959912690047,173.2136250780811,730.0,1.0082292757305134,-0.0713230146414902,254,1.437007874015748,151,0.96033281161507,230,0.8059852976430353,98,0.8725317103720692,0.8943428683234628
보건의료,5-9_진료정보_피부염_시군구.csv,시군구지역코드,0,49130.0,11110.0,37781.90801480352,41830.0,11110.0,28720.0,46790.0,18070.0,134649221.59188882,11603.845120988508,38020.0,-1.166056050441662,0.1640891062059961,250,141.588,107,0.9558667124520478,227,0.7445999426918595,93,0.9059785181430718,0.8936580807764198
보건의료,5-7_진료정보_천식_시군구.csv,시군구지역코드,0,49130.0,11110.0,37781.90801480352,41830.0,11110.0,28720.0,46790.0,18070.0,134649221.59188882,11603.845120988508,38020.0,-1.166056050441662,0.1640891062059961,250,141.588,107,0.9558667124520478,227,0.7445999426918595,93,0.9059785181430718,0.8936580807764198
보건의료,5-3_진료정보_감기_시군구.csv,시군구지역코드,0,49130.0,11110.0,37781.90801480352,41830.0,11110.0,28720.0,46790.0,18070.0,134649221.59188882,11603.845120988508,38020.0,-1.166056050441662,0.1640891062059961,250,141.588,107,0.9558667124520478,227,0.7445999426918595,93,0.9059785181430718,0.8936580807764198
보건의료,5-5_진료정보_눈병_시군구.csv,시군구지역코드,0,49130.0,11110.0,37781.90801480352,41830.0,11110.0,28720.0,46790.0,18070.0,134649221.59188882,11603.845120988508,38020.0,-1.166056050441662,0.1640891062059961,250,141.588,107,0.9558667124520478,227,0.7445999426918595,93,0.9059785181430718,0.8936580807764198
농업농촌,3_전국배수펌프장표준데이터.csv,위도,0,38.0893209784,35.0185912404,36.1582247327966,35.81752447,37.8562611924,35.23248373435,37.45379101,2.2213072756500054,1.1312613426846747,1.0636077014974434,3.0707297380000043,0.6256532530389038,-1.3189145633184858,319,1.012539184952978,146,0.9595406175402372,231,0.7979872923929289,104,0.8673502344522959,0.8903537992755991
재난안전,48_광주광역시_CCTV_20240630.CSV,설치연도,0,2024.0,2008.0,2020.285736196319,2021.0,2022.0,2019.0,2023.0,4.0,9.549727483702666,3.090263335656472,16.0,-0.985680563886176,0.5568482938720827,16,407.5,109,0.9506323000705635,226,0.7406232037117771,95,0.9045938545661799,0.8902151025970528
