년월,구분1,구분2,계(총계)(명),일반(총계)(명),기초(총계)(명),경감(총계)(명),의료(총계)(명),1등급(일반)(명),2등급(일반)(명),3등급(일반)(명),4등급(일반)(명),5등급(일반)(명),인지지원(일반)(명),1등급(기초)(명),2등급(기초)(명),3등급(기초)(명),4등급(기초)(명),5등급(기초)(명),인지지원(기초)(명),1등급(감경)(명),2등급(감경)(명),3등급(감경)(명),4등급(감경)(명),5등급(감경)(명),인지지원(감경)(명),1등급(의료)(명),2등급(의료)(명),3등급(의료)(명),4등급(의료)(명),5등급(의료)(명),인지지원(의료)(명)
2024-03,구입,지팡이,8911,3664,1877,3285,85,22,93,923,2046,527,53,4,30,334,1137,330,42,16,99,854,1835,449,32,0,2,18,51,13,1
2024-03,구입,욕창예방방석,4470,1658,1045,1717,50,101,175,562,755,62,3,34,71,299,579,61,1,74,153,571,845,72,2,1,6,17,25,1,0
2024-03,구입,자세변환쿠션,1919,866,273,765,15,241,287,227,93,17,1,75,89,83,22,4,0,217,234,210,94,10,0,1,6,5,3,0,0
2024-03,구입,성인용보행기,11391,4926,1925,4418,122,38,189,1290,2716,625,68,6,46,365,1150,320,38,33,165,1084,2493,597,46,0,2,31,72,17,0
2024-03,구입,요실금팬티,16532,6049,4220,6092,171,31,216,1605,3371,754,72,14,94,871,2542,650,49,27,223,1639,3420,730,53,1,6,52,97,14,1
2024-03,구입,욕창예방매트리스,4207,1929,577,1665,36,183,352,712,625,51,6,47,68,174,264,24,0,150,260,624,568,60,3,2,4,10,16,4,0
2024-03,구입,경사로(실내용),448,202,76,167,3,15,23,68,83,11,2,4,7,20,41,4,0,8,16,69,65,7,2,0,0,1,1,1,0
2024-03,대여,실제인원,217704,92153,43017,80180,2354,7979,13462,33251,33880,3386,195,1598,3483,12848,22487,2515,86,5010,10188,28942,32691,3213,136,118,271,891,984,86,4
2024-03,대여,일반형 수동 휠체어,147238,63673,27644,54229,1692,5023,9332,23556,23229,2388,145,1082,2564,9007,13324,1596,71,3036,7011,20337,21512,2243,90,77,210,685,660,57,3
2024-03,대여,전동침대,112147,45400,24397,41206,1144,5311,8461,16174,14454,979,21,1056,2154,7057,13042,1081,7,3537,6522,14582,15587,958,20,77,160,399,478,30,0
2024-03,대여,수동침대,15,1,4,10,0,0,0,1,0,0,0,0,1,0,3,0,0,2,2,5,1,0,0,0,0,0,0,0,0
2024-03,대여,이동욕조,496,163,137,189,7,28,27,60,47,1,0,14,22,46,52,3,0,25,29,79,53,3,0,1,1,5,0,0,0
2024-03,대여,목욕리프트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03,대여,배회감지기,2135,1082,197,836,20,12,29,231,495,284,31,3,4,34,88,60,8,2,24,178,363,243,26,0,0,2,11,6,1
2024-03,대여,경사로(실외용),1012,394,203,396,19,70,68,133,105,17,1,18,34,66,72,11,2,35,76,140,126,17,2,1,4,9,5,0,0
2024-03,대여,욕창예방매트리스,5973,2770,1095,2036,72,798,697,755,486,32,2,190,222,364,306,12,1,459,516,605,429,25,2,20,15,25,12,0,0
