진료년도,시도,시군구,환자수,명세서청구건수,입내원일수,요양급여비용총액,보험자부담금
2023,강원,춘천시,427379,5390749,5946016,491819104170,378645868430
2023,강원,태백시,56269,684253,700409,27427700680,20075930750
2023,강원,삼척시,90238,935161,993024,50366030390,37140303600
2023,충북,괴산군,41337,374097,421437,23866426970,17890901160
2023,충북,단양군,28913,268830,289659,9986541470,7546170540
2023,충북,보은군,38469,499003,576707,26448873480,20063302630
2023,충북,영동군,59658,841777,960045,52455597620,39691686980
2023,충북,옥천군,60141,931447,998297,49216722370,36116337400
2023,충북,음성군,162335,1483060,1604740,70190601130,52424515880
2023,충북,진천군,139877,1324338,1447863,77727139740,57432107380
2023,충북,증평군,65525,605023,625759,22443806060,16885298220
2023,충북,청주상당구,414556,3728265,4048894,258571315390,194225591590
2023,충북,청주흥덕구,604686,4860330,5222005,325871071910,243613863020
2023,충북,청주청원구,432307,3856934,4160636,271222410780,203196531170
2023,충북,청주서원구,475150,3811785,4431897,475024457040,374727080950
2023,충북,충주시,291469,3878177,4283738,257665321470,191895913280
2023,충북,제천시,200340,2478557,2743308,165773248050,123766138040
2023,충남,금산군,67459,977737,1062354,44363314480,33889636440
2023,충남,부여군,73529,1079825,1214520,55915796450,42693029700
2023,충남,서천군,62333,975433,1147998,48949279260,37384247090
2023,충남,예산군,104707,1230664,1284778,58713304370,43888869400
2023,충남,청양군,32476,361898,400151,15099645030,11351328080
2023,충남,홍성군,160362,1866651,2052736,106632575960,80091659600
2023,충남,태안군,78943,1077554,1116304,42764496750,32265335820
2023,충남,천안서북구,832612,7421790,8042751,480329025120,358186068920
2023,충남,천안동남구,677387,5025740,5976197,766423441540,597337578860
2023,충남,공주시,139379,1682627,2035830,115612042430,86926262670
2023,충남,보령시,123917,1825219,1939408,87672454110,65286539520
2023,충남,아산시,549544,5336116,5793769,330962376590,248695723870
2023,충남,서산시,245139,2880353,3048094,163116894140,119757543330
2023,충남,논산시,178830,2416958,2901154,172769966190,129542879540
2023,충남,계룡시,58715,505828,532724,17604978100,13009625480
2023,충남,당진시,228040,2694992,2867131,148765209490,110620093790
2023,전북,고창군,60078,936788,1147272,67018036010,50959741740
2023,전북,무주군,28764,346104,346485,10535788550,8071968650
2023,전북,부안군,60594,1042503,1212845,58095571900,43870597720
2023,전북,순창군,30100,469615,565505,25008659790,19111010090
2023,전북,완주군,169365,1367854,1645525,72550405900,54907972850
2023,전북,임실군,32554,457939,487361,15686310200,12295381060
2023,전북,장수군,22141,278247,278593,7637629540,6027474740
2023,전북,진안군,42758,386756,400089,15602139210,11815468100
2023,전북,군산시,340557,5100231,5892934,350553064540,264470439640
2023,전북,남원시,109899,1741103,1915165,88756841630,67035559980
