날짜,시도지역코드,발생건수(건)
2023-10-27,41.0,6008.0
2023-10-27,42.0,0.0
2023-10-27,43.0,964.0
2023-10-27,44.0,1475.0
2023-10-27,45.0,1075.0
2023-10-27,46.0,1101.0
2023-10-27,47.0,1201.0
2023-10-27,48.0,1578.0
2023-10-27,49.0,317.0
2023-10-27,99.0,24328.0
2023-10-28,11.0,2731.0
2023-10-28,26.0,923.0
2023-10-28,27.0,784.0
2023-10-28,28.0,1063.0
2023-10-28,29.0,535.0
2023-10-28,30.0,426.0
2023-10-28,31.0,297.0
2023-10-28,41.0,4265.0
2023-10-28,42.0,0.0
2023-10-28,43.0,575.0
2023-10-28,44.0,1022.0
2023-10-28,45.0,588.0
2023-10-28,46.0,756.0
2023-10-28,47.0,807.0
2023-10-28,48.0,1066.0
2023-10-28,49.0,196.0
2023-10-28,99.0,16357.0
2023-10-29,11.0,306.0
2023-10-29,26.0,118.0
2023-10-29,27.0,82.0
2023-10-29,28.0,260.0
2023-10-29,29.0,66.0
2023-10-29,30.0,127.0
2023-10-29,31.0,22.0
2023-10-29,41.0,1027.0
2023-10-29,43.0,69.0
2023-10-29,44.0,289.0
2023-10-29,45.0,100.0
2023-10-29,46.0,136.0
2023-10-29,47.0,96.0
2023-10-29,48.0,217.0
2023-10-29,49.0,25.0
2023-10-29,99.0,2986.0
2023-10-30,11.0,5246.0
2023-10-30,26.0,2022.0
2023-10-30,27.0,1380.0
2023-10-30,28.0,1801.0
2023-10-30,29.0,1089.0
2023-10-30,30.0,838.0
2023-10-30,31.0,600.0
2023-10-30,41.0,7567.0
2023-10-30,42.0,0.0
2023-10-30,43.0,1185.0
2023-10-30,44.0,1873.0
2023-10-30,45.0,1395.0
2023-10-30,46.0,1477.0
2023-10-30,47.0,1642.0
2023-10-30,48.0,2001.0
2023-10-30,49.0,436.0
2023-10-30,99.0,31389.0
2023-10-31,11.0,3853.0
2023-10-31,26.0,1418.0
2023-10-31,27.0,1028.0
2023-10-31,28.0,1347.0
2023-10-31,29.0,770.0
2023-10-31,30.0,662.0
2023-10-31,31.0,463.0
2023-10-31,41.0,5607.0
2023-10-31,42.0,0.0
2023-10-31,43.0,889.0
2023-10-31,44.0,1456.0
2023-10-31,45.0,975.0
2023-10-31,46.0,1117.0
2023-10-31,47.0,1205.0
2023-10-31,48.0,1438.0
2023-10-31,49.0,315.0
2023-10-31,99.0,23171.0
2023-11-01,11.0,3807.0
2023-11-01,26.0,1569.0
2023-11-01,27.0,1057.0
2023-11-01,28.0,1383.0
2023-11-01,29.0,696.0
2023-11-01,30.0,634.0
2023-11-01,31.0,529.0
2023-11-01,41.0,5601.0
2023-11-01,42.0,0.0
2023-11-01,43.0,771.0
2023-11-01,44.0,1342.0
2023-11-01,45.0,1076.0
2023-11-01,46.0,1103.0
2023-11-01,47.0,1207.0
2023-11-01,48.0,1537.0
2023-11-01,49.0,242.0
2023-11-01,99.0,23195.0
2023-11-02,11.0,3803.0
2023-11-02,26.0,1461.0
2023-11-02,27.0,977.0
2023-11-02,28.0,1445.0
2023-11-02,29.0,749.0
2023-11-02,30.0,600.0
2023-11-02,31.0,466.0
2023-11-02,41.0,5463.0
2023-11-02,42.0,0.0
2023-11-02,43.0,818.0
2023-11-02,44.0,1325.0
2023-11-02,45.0,991.0
2023-11-02,46.0,1032.0
2023-11-02,47.0,1156.0
2023-11-02,48.0,1504.0
2023-11-02,49.0,330.0
2023-11-02,99.0,22666.0
2023-11-03,11.0,4170.0
2023-11-03,26.0,1591.0
2023-11-03,27.0,1099.0
