발생년도,경찰서,살인,강도,절도,폭력
2023,경북김천경찰서,3,2,352,561
2023,경북영주경찰서,7,0,199,357
2023,경북영천경찰서,2,1,238,492
2023,경북상주경찰서,1,0,318,268
2023,경북문경경찰서,1,0,240,181
2023,경북칠곡경찰서,4,1,296,530
2023,경북의성경찰서,1,1,122,160
2023,경북청도경찰서,0,0,154,182
2023,경북영덕경찰서,0,0,166,210
2023,경북울진경찰서,1,1,187,177
2023,경북봉화경찰서,0,1,45,90
2023,경북예천경찰서,0,0,126,154
2023,경북성주경찰서,0,0,113,156
2023,경북청송경찰서,1,1,44,120
2023,경북영양경찰서,0,0,42,90
2023,경북군위경찰서,0,0,29,62
2023,경북고령경찰서,3,0,67,92
2023,경북울릉경찰서,0,0,14,49
2023,경남창원중부경찰서,4,2,1037,1171
2023,경남창원서부경찰서,9,1,680,771
2023,경남마산중부경찰서,0,0,566,697
2023,경남마산동부경찰서,2,3,775,981
2023,경남진주경찰서,8,5,2931,1540
2023,경남김해중부경찰서,6,1,2538,1235
2023,경남김해서부경찰서,0,0,935,1010
2023,경남양산경찰서,3,2,1234,1551
2023,경남거제경찰서,5,1,869,1198
2023,경남진해경찰서,4,0,601,836
2023,경남통영경찰서,2,11,694,847
2023,경남사천경찰서,0,0,304,573
2023,경남밀양경찰서,1,2,252,509
2023,경남거창경찰서,0,3,147,217
2023,경남합천경찰서,0,1,73,173
2023,경남창녕경찰서,1,1,136,185
2023,경남고성경찰서,2,0,143,171
2023,경남하동경찰서,0,2,67,160
2023,경남남해경찰서,0,1,49,101
2023,경남함양경찰서,0,0,57,125
2023,경남산청경찰서,1,0,37,96
2023,경남함안경찰서,1,1,107,200
2023,경남의령경찰서,0,1,50,87
2023,제주서귀포경찰서,7,2,774,1467
2023,제주동부경찰서,2,8,1149,1884
2023,제주서부경찰서,1,6,1345,1746
