신고일시,접수일시,수계,지원여부,주소,상세주소,등록일시,수정일자,삭제여부,첨부파일,등록기관
2013-09-10 0:00,2013-09-10 0:00,낙동강,Y,경상북도 영천시 금호읍 원기리,,,,N,,1.0
2014-01-02 0:00,2014-01-02 0:00,금강,Y,충청남도 청양군 청남면 천내리,,,,N,,1.0
2014-01-03 0:00,2014-01-03 0:00,낙동강,N,경상북도 구미시 임수동 낙동강,,,,N,,1.0
2014-01-24 0:00,2014-01-24 0:00,낙동강,Y,경상남도 김해시 상동면 매리,,,,N,,1.0
2014-01-25 0:00,2014-01-25 0:00,영산강,N,광주광역시 광산구 신창동,,,,N,,1.0
2014-01-26 0:00,2014-01-26 0:00,낙동강,N,경상북도 칠곡군 석적읍 중지리,,,,N,,1.0
2014-01-30 0:00,2014-01-30 0:00,금강,Y,충청남도 공주시 신관동,,,,N,,1.0
2014-02-05 0:00,2014-02-05 0:00,낙동강,N,울산광역시 남구 신정1동,,,,N,,1.0
2014-02-07 0:00,2014-02-07 0:00,영산강,N,광주광역시 남구 승촌동,,,,N,,1.0
2014-03-13 0:00,2014-03-13 0:00,한강,Y,경기도 평택시 평택동,,,,N,,1.0
2014-03-27 0:00,2014-03-27 0:00,낙동강,N,경상북도 구미시 원평동,,,,N,,1.0
2014-03-28 0:00,2014-03-28 0:00,낙동강,Y,경상남도 김해시 상동면 매리,,,,N,,1.0
2014-04-16 0:00,2014-04-16 0:00,낙동강,Y,경상북도 고령군 개진면 개포리,,,,N,,1.0
2014-04-18 0:00,2014-04-18 0:00,낙동강,Y,경상북도 상주시 도남동,,,,N,,1.0
2014-04-20 0:00,2014-04-20 0:00,영산강,Y,광주광역시 북구 월출동,,,,N,,1.0
2014-04-23 0:00,2014-04-23 0:00,한강,Y,경기도 광주시 중대동,,,,N,,1.0
2014-04-25 0:00,2014-04-25 0:00,영산강,Y,전라남도 나주시 봉황면,,,,N,,1.0
2014-05-09 0:00,2014-05-09 0:00,한강,Y,강원도 강릉시 옥계면 주수리,,,,N,,1.0
2014-05-12 0:00,2014-05-12 0:00,영산강,Y,전라남도 화순군 이양면 매정리,,,,N,,1.0
2014-05-13 0:00,2014-05-13 0:00,한강,N,경기도 가평군 청평면 삼회리,,,,N,,1.0
2014-05-14 0:00,2014-05-14 0:00,낙동강,Y,경상북도 김천시 아포읍,,,,N,,1.0
2014-05-23 0:00,2014-05-23 0:00,낙동강,N,경상북도 구미시 공단동,,,,N,,1.0
2014-05-23 0:00,2014-05-23 0:00,금강,Y,세종특별자치시 전의면,,,,N,,1.0
2014-06-03 0:00,2014-06-03 0:00,낙동강,Y,경상북도 칠곡군 왜관읍 왜관리,,,,N,,1.0
2014-06-04 0:00,2014-06-04 0:00,금강,N,충청남도 서산시 성연면 명천리,,,,N,,1.0
2014-06-04 0:00,2014-06-04 0:00,낙동강,Y,경상남도 양산시 물금읍,,,,N,,1.0
2014-06-25 0:00,2014-06-25 0:00,영산강,N,전라남도 나주시 봉황면,,,,N,,1.0
2014-06-29 0:00,2014-06-29 0:00,낙동강,N,경상북도 구미시 비산동,,,,N,,1.0
2014-07-12 0:00,2014-07-12 0:00,금강,Y,세종특별자치시 부강면 금호리,,,,N,,1.0
2014-07-24 0:00,2014-07-24 0:00,낙동강,Y,경상북도 칠곡군 석적읍 중지리,,,,N,,1.0
2014-08-02 0:00,2014-08-02 0:00,낙동강,N,경상북도 경산시 진량읍 평사리,,,,N,,1.0
2014-08-06 0:00,2014-08-06 0:00,낙동강,Y,경상북도 안동시 송현동,,,,N,,1.0
