날짜,시도지역코드,발생건수(건)
2023-10-19,27.0,2369.0
2023-10-19,28.0,1771.0
2023-10-19,29.0,1010.0
2023-10-19,30.0,1182.0
2023-10-19,31.0,713.0
2023-10-19,41.0,9598.0
2023-10-19,42.0,0.0
2023-10-19,43.0,1096.0
2023-10-19,44.0,1733.0
2023-10-19,45.0,1727.0
2023-10-19,46.0,1544.0
2023-10-19,47.0,2151.0
2023-10-19,48.0,2463.0
2023-10-19,49.0,705.0
2023-10-19,99.0,38993.0
2023-10-20,11.0,8841.0
2023-10-20,26.0,3262.0
2023-10-20,27.0,2602.0
2023-10-20,28.0,2342.0
2023-10-20,29.0,1094.0
2023-10-20,30.0,1338.0
2023-10-20,31.0,761.0
2023-10-20,41.0,12740.0
2023-10-20,42.0,0.0
2023-10-20,43.0,1448.0
2023-10-20,44.0,1934.0
2023-10-20,45.0,2134.0
2023-10-20,46.0,1673.0
2023-10-20,47.0,2525.0
2023-10-20,48.0,2896.0
2023-10-20,49.0,773.0
2023-10-20,99.0,47757.0
2023-10-21,11.0,5379.0
2023-10-21,26.0,2053.0
2023-10-21,27.0,1667.0
2023-10-21,28.0,1520.0
2023-10-21,29.0,727.0
2023-10-21,30.0,832.0
2023-10-21,31.0,517.0
2023-10-21,41.0,8149.0
2023-10-21,42.0,0.0
2023-10-21,43.0,833.0
2023-10-21,44.0,1294.0
2023-10-21,45.0,1173.0
2023-10-21,46.0,1033.0
2023-10-21,47.0,1357.0
2023-10-21,48.0,1793.0
2023-10-21,49.0,387.0
2023-10-21,99.0,29449.0
2023-10-22,11.0,323.0
2023-10-22,26.0,48.0
2023-10-22,27.0,31.0
2023-10-22,28.0,63.0
2023-10-22,29.0,41.0
2023-10-22,30.0,51.0
2023-10-22,31.0,37.0
2023-10-22,41.0,609.0
2023-10-22,43.0,23.0
2023-10-22,44.0,71.0
2023-10-22,45.0,29.0
2023-10-22,46.0,62.0
2023-10-22,47.0,34.0
2023-10-22,48.0,68.0
2023-10-22,49.0,99.0
2023-10-22,99.0,1609.0
