업종명,신고일자,업소명,영업소 주소(도로명),영업소 주소(지번)
일반미용업,2006-11-20,김시연#,전라남도 여수시 새터로 85 (신기동),전라남도 여수시 신기동 15-11 
일반미용업,2007-06-18,한빛헤어클리닉,"전라남도 여수시 새터로 3 (신기동,(1층))",전라남도 여수시 신기동 128-10 (1층) 
일반미용업,2007-10-16,김겸헤어포레,"전라남도 여수시 장성1길 8 (안산동, 1층)",전라남도 여수시 안산동 722-6 외1필지 1층 
일반미용업,2007-10-25,퀸헤어,전라남도 여수시 학동1길 14 (학동),전라남도 여수시 학동 37-1 
일반미용업,2007-11-02,장미라헤어뷰,전라남도 여수시 장성2길 3 (안산동),전라남도 여수시 안산동 722-7 
일반미용업,2008-07-09,이후헤어갤러리,전라남도 여수시 문수7길 33 (문수동),전라남도 여수시 문수동 455-1 
일반미용업,2008-07-11,그랜드 김겸헤어포레,"전라남도 여수시 문수로 9 (문수동,(1층))",전라남도 여수시 문수동 805-1 (1층) 
일반미용업,2008-09-04,프레지던트,"전라남도 여수시 소호6길 36-1, 상가동 104호 (소호동)",전라남도 여수시 소호동 423 주은금호상가104호 
일반미용업,2008-09-16,시크 헤어샵,전라남도 여수시 문수6길 30 (문수동),전라남도 여수시 문수동 781-1 
일반미용업,2008-09-29,문현정헤어,"전라남도 여수시 문수로 23, 1층 (문수동)",전라남도 여수시 문수동 192 
일반미용업,2008-10-14,Creative by 지아,"전라남도 여수시 쌍봉로 52, 5호 (학동)",전라남도 여수시 학동 50-2 제5호 
일반미용업,2008-11-21,투투헤어라인,"전라남도 여수시 쌍봉로 32, 상가2동 118호 (학동, 신동아파밀리에아파트)",전라남도 여수시 학동 54 (신동아파밀리에상가 2동 118호) 
일반미용업,2008-12-17,이경은헤어라인,"전라남도 여수시 쌍봉로 22 (학동,1층)",전라남도 여수시 학동 56 1층 
일반미용업,2008-05-07,S1986 헤어살롱,전라남도 여수시 신기남2길 18 (신기동),전라남도 여수시 신기동 106-8 
일반미용업,2009-01-07,보은,"전라남도 여수시 시전6길 16-1, 1층 7호 (신기동)",전라남도 여수시 신기동 73-4 
일반미용업,2009-02-10,남해미용실황헤어갤러리,전라남도 여수시 무선5길 28 (선원동),전라남도 여수시 선원동 1241-6 
일반미용업,2009-02-19,정수정헤어,전라남도 여수시 여문1로 66 (문수동),전라남도 여수시 문수동 152 
일반미용업,2009-03-11,네잎클로버 헤어샵,전라남도 여수시 신월로 561-6 (신월동),전라남도 여수시 신월동 60 금호a 상가1동201호 
일반미용업,2009-03-25,벨라헤어샾,"전라남도 여수시 여천체육공원길 52 (신기동,우림필유@상가동301호)",전라남도 여수시 신기동 75 우림필유@상가동301호 
일반미용업,2009-04-13,감성 & 바이블,전라남도 여수시 여서1로 70 (여서동),전라남도 여수시 여서동 227-2 
일반미용업,2009-07-01,유정헤어#,전라남도 여수시 새터로 25-1 (신기동),전라남도 여수시 신기동 92-4 
일반미용업,2009-08-04,머리풍경,"전라남도 여수시 소라면 죽림중앙로 30-28, 1층",전라남도 여수시 소라면 죽림리 1215-2 
일반미용업,2009-08-19,써니헤어,전라남도 여수시 예울마루로 32 (웅천동),전라남도 여수시 웅천동 1683 
일반미용업,2009-08-27,정남희헤어박스,전라남도 여수시 소호로 516 (소호동),전라남도 여수시 소호동 1199-8 
일반미용업,2009-09-04,헤어조각가 블루,"전라남도 여수시 진남상가길 46-2 (충무동,2층)",전라남도 여수시 충무동 501 2층 
