관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,광산구 소촌동 304-2,,1,200만,360도,30일,2018,35.147605,126.797349,2024-06-30
광주광역시 사회재난과,광산구 소촌동 304-2,,1,200만,360도,30일,2023,35.147605,126.797349,2024-06-30
광주광역시 사회재난과,광산구 소촌동 506-8,광산구 송정공원로23번길 1,1,200만,360도,30일,2010,35.145698,126.79879,2024-06-30
광주광역시 사회재난과,광산구 소촌동 506-8,광산구 송정공원로23번길 1,1,200만,360도,30일,2022,35.145698,126.79879,2024-06-30
광주광역시 사회재난과,광산구 소촌동 506-8,광산구 송정공원로23번길 1,1,200만,360도,30일,2024,35.145698,126.79879,2024-06-30
광주광역시 사회재난과,광산구 소촌동 538-4,광산구 어등대로647번길 30-15,2,200만,360도,30일,2010,35.143993,126.793615,2024-06-30
광주광역시 사회재난과,광산구 소촌동 603-5,광산구 어등대로665번길 20,1,200만,360도,30일,2022,35.146244,126.791534,2024-06-30
광주광역시 사회재난과,광산구 소촌동 603-5,광산구 어등대로665번길 20,1,200만,360도,30일,2023,35.146244,126.791534,2024-06-30
광주광역시 사회재난과,광산구 소촌동 603-5,광산구 어등대로665번길 20,2,200만,360도,30일,2024,35.146244,126.791534,2024-06-30
광주광역시 사회재난과,광산구 소촌동 69-6,광산구 금봉로 37,1,200만,360도,30일,2022,35.151739,126.802497,2024-06-30
광주광역시 사회재난과,광산구 소촌동 69-6,광산구 금봉로 37,2,200만,360도,30일,2024,35.151739,126.802497,2024-06-30
광주광역시 사회재난과,광산구 소촌동 100,광산구 송정공원로 74,1,200만,360도,30일,2022,35.150013,126.798705,2024-06-30
광주광역시 사회재난과,광산구 소촌동 100,광산구 송정공원로 74,1,200만,360도,30일,2024,35.150013,126.798705,2024-06-30
광주광역시 사회재난과,광산구 송산동 195,광산구 박호등임로 43-1,2,200만,360도,30일,2020,35.158426,126.73604,2024-06-30
광주광역시 사회재난과,광산구 송산동 195,광산구 박호등임로 43-1,1,200만,360도,30일,2021,35.158426,126.73604,2024-06-30
광주광역시 사회재난과,광산구 송산동 195,광산구 박호등임로 43-1,1,200만,360도,30일,2024,35.158426,126.73604,2024-06-30
광주광역시 사회재난과,광산구 송산동 256-20,,2,200만,360도,30일,2022,35.158219,126.732216,2024-06-30
광주광역시 사회재난과,광산구 송산동 256-20,,1,200만,360도,30일,2024,35.158219,126.732216,2024-06-30
광주광역시 사회재난과,광산구 송정동 1145-8,,2,200만,360도,30일,2019,35.134942,126.785956,2024-06-30
광주광역시 사회재난과,광산구 송정동 1145-8,,2,200만,360도,30일,2023,35.134942,126.785956,2024-06-30
광주광역시 사회재난과,광산구 송정동 230-8,광산구 송정로65번길 28,1,200만,360도,30일,2020,35.135095,126.798462,2024-06-30
광주광역시 사회재난과,광산구 송정동 230-8,광산구 송정로65번길 28,1,200만,360도,30일,2019,35.135095,126.798462,2024-06-30
광주광역시 사회재난과,광산구 송정동 230-8,광산구 송정로65번길 28,1,200만,360도,30일,2024,35.135095,126.798462,2024-06-30
광주광역시 사회재난과,광산구 송정동 268-39,광산구 송도로270번길 39,3,200만,360도,30일,2020,35.137559,126.8013,2024-06-30
광주광역시 사회재난과,광산구 송정동 324-2 맞은편,광산구 용보로27번길 28,1,200만,360도,30일,2022,35.136939,126.803049,2024-06-30
광주광역시 사회재난과,광산구 송정동 324-2 맞은편,광산구 용보로27번길 28,1,200만,360도,30일,2023,35.136939,126.803049,2024-06-30
광주광역시 사회재난과,광산구 송정동 324-2 맞은편,광산구 용보로27번길 28,1,200만,360도,30일,2024,35.136939,126.803049,2024-06-30
광주광역시 사회재난과,광산구 송정동 448-11,광산구 송도로304번길 78,1,200만,360도,30일,2018,35.138998,126.804825,2024-06-30
광주광역시 사회재난과,광산구 송정동 448-11,광산구 송도로304번길 78,2,200만,360도,30일,2024,35.138998,126.804825,2024-06-30
광주광역시 사회재난과,광산구 송정동 555-7,광산구 용보로 14,1,200만,360도,30일,2021,35.137057,126.800701,2024-06-30
광주광역시 사회재난과,광산구 송정동 555-7,광산구 용보로 14,1,200만,360도,30일,2024,35.137057,126.800701,2024-06-30
광주광역시 사회재난과,광산구 송정동 566-22,광산구 내상로33번안길 22,2,200만,360도,30일,2021,35.138816,126.799022,2024-06-30
