년도,지점명칭,목적,지목,지역,면적(제곱미터),시료깊이(m),카드뮴(mg_kg),구리(mg_kg),비소(mg_kg),수은(mg_kg),납(mg_kg),6가크롬(mg_kg),아연(mg_kg),니켈(mg_kg),불소(mg_kg),유기인(mg_kg),폴리클로리네이티드비페닐(PCBs)(mg_kg),시안(mg_kg),페놀류(mg_kg),벤젠(mg_kg),톨루엔(mg_kg),에틸벤젠(mg_kg),크실렌(mg_kg),석유계총탄화수소(TPH)(mg_kg),트리클로로에틸렌(TCE)(mg_kg),테트라클로로에틸렌(PCE)(mg_kg),벤조(a)피렌(mg_kg),12디클로로에탄(mg_kg),수소이온농도(pH)
2022,(유)한솔산업환경,원광석·고철 등의 보관·사용지역,잡종지(3지역),3지역,4499,표토,2.06,55.5,4.18,0.05,26.4,0,196.9,62.1,438,,0,0,0,0,0,0,0,446,,,,,6.2
2022,전주리싸이클링에너지(주),폐기물 처리 및 재활용 관련 지역,잡종지(3지역),3지역,5151,표토,1.85,150.6,2.96,0.07,15.7,0,244.5,24.8,460,,0,0,0,0,0,0,0,942,,,,,6.4
2022,전주광역매립장,폐기물 처리 및 재활용 관련 지역,잡종지(3지역),3지역,49167,표토,4.22,538.1,4.8,0.05,105.9,0,1205.3,37,268,,0,0,0,0,0,0,0,89,,,,,7
2022,대한고속(주),교통관련시설지역,잡종지(2지역),2지역,4465,표토,1.54,17.9,3.02,0.02,16,0,88.3,14.1,244,,0,0,0,0,0,0,0,198,,,,,6.7
2022,유한회사 제일여객자동차,교통관련시설지역,주차장,3지역,4529,표토,1.96,16.2,4.54,0.01,11.7,0,87.8,20.4,216,,0,0,0,0,0,0,0,112,,,,,7
2022,중산3길공원,어린이 놀이시설지역,공원용지,1지역,1499.7,표토,1.99,21.5,4.29,0.02,16.6,0,85.9,17.8,,,,0,,,,,,,,,,,7.1
2022,셰플러코리아 유한회사,산업단지 및 공장지역,공장용지,3지역,67145.4,0.0~0.5,2.06,14.4,3.99,0.01,16.9,0,108.7,16.7,396,,0,0,0,0,0,0,0,53,0,0,,0,5.5
2022,삼양화성(주)전주공장,공장폐수 유입지역,공장용지,3지역,59963.4,0.0~0.5,2.53,29.3,5.68,0.03,21.1,0,126.9,23.7,367,,0,0,0,0,0,0,0,62,0,0,,0,5.8
2022,(유)천변토건환경,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,2376,0.0~0.5,2.88,34,4.03,0.04,14.5,0,91,17.3,386,,,0,,,,,,,,,,,5.8
2022,티에스케이그린에너지,원광석·고철 등의 보관·사용지역,공장용지,3지역,3099,0.0~0.5,1.81,29.1,5.62,0.07,19.2,0,97.3,12.1,490,,0,0,0,0,0,0,0,91,0,0,,0,5.5
2022,호동골쓰레기매립장,폐기물 처리 및 재활용 관련 지역,전,1지역,8767,0.0~0.5,1.81,10.3,5.1,0.03,65.9,0,100.6,12,,0,,0,,,,,,,,,,,5.9
2022,현대자동차(주)전주서비스센터,교통관련시설지역,잡종지(2지역),2지역,15130,0.0~0.5,3.05,32.6,5.38,0.01,17.7,0,115.3,17.7,375,,0,0,0,0,0,0,0,78,,,,,5.8
2022,팔복공원,어린이 놀이시설지역,공원용지,1지역,20722.8,0.0~0.5,2.79,42.3,6.85,0.04,24.2,0,85,38.1,,,,0,,,,,,,,,,,6
2022,하이호경금속(주),산업단지 및 공장지역,공장용지,3지역,60225.9,1.5,0,11.8,3.73,0,6.3,0,79.1,2.9,280,,0,0,0,0,0,0,0,54,0,0,,,7.9
2022,백광산업(주),산업단지 및 공장지역,공장용지,3지역,49960.5,1.5,4.72,84.2,11.63,0.03,18,0,153.9,51.2,348,,0,0,0,0,0,0,0,0,0,0,,,6.2
2022,(주)수성군산탱크터미널,산업단지 및 공장지역,공장용지,3지역,20352,1.5,3.56,40.2,5.47,0,133.2,0,103,22.4,541,,0,0,0,0,0,0,0,108,0,0,,,7
2022,(주)대림,산업단지 및 공장지역,공장용지,3지역,8250.2,1.5,1.99,17.6,12.92,0.01,26,0,70,11.6,278,,0,0,0,0,0,0,0,51,0,0,,,6.1
2022,(유)서원아스콘,산업단지 및 공장지역,공장용지,3지역,8265.2,1.5,2.03,39.5,11.75,0.03,19.1,0,90.7,18,352,,0,0,0,0,0,0,0,383,0,0,,,6.3
2022,(주)세아씨엠,산업단지 및 공장지역,공장용지,3지역,114490.6,1.5,2.29,30.4,7.57,0.02,15.8,0,97.2,14.5,317,,0,0,0,0,0,0,0,344,0,0,,,6
2022,군장에너지주식회사,산업단지 및 공장지역,공장용지,3지역,56332.7,1.5,3.16,44.1,27.32,0.02,48,0,527,47.7,479,,0,0,0,0,0,0,0,93,0,0,,,6.1
2022,정림이앤티㈜,폐기물 처리 및 재활용 관련 지역,잡종지(3지역),3지역,9997,1.5,1.91,21.3,8.25,0.02,19.1,0,501.4,14.3,231,,0,0,0,0,0,0,0,455,,,,,6.2
2022,대평세라믹스,폐기물 처리 및 재활용 관련 지역,공장용지,3지역,47635,1.5,2.6,49.7,13.9,0.02,29.5,0,118.4,24,406,,0,0,0,0,0,0,0,211,0,0,,,6.3
2022,(유)삼오유지산업,폐기물 처리 및 재활용 관련 지역,공장용지,3지역,3305.9,1.5,1.65,13.9,7.53,0,11.3,0,58.8,9,201,,0,0,0,0,0,0,0,0,0,0,,,6.2
2022,현대자동차㈜군산하이테크센터,교통관련시설지역,공장용지,3지역,25839,1.5,2.8,57.8,10.74,0.03,32,0,112.7,16.8,250,,0,0,0,0,0,0,0,159,0,0,,,6.5
2022,군산폐차장,교통관련시설지역,잡종지(3지역),3지역,5260,1.5,3.49,41.4,5.2,0,12.1,0,77.8,37.5,342,,0,0,0,0,0,0,0,82,,,,,6
2022,지에스칼텍스㈜이마트군산점,토양오염 정화 및 정화토양 사용지역,주유소용지,3지역,18035,1.5,2.97,94,30.12,0.03,30.5,0,122.5,31.1,513,,,0,,,,,,,,,,,6
2022,군산시수산업협동조합,사고·민원 등 발생지역,잡종지(3지역),3지역,4642.3,1.5,0,28,7.21,0.04,20.2,0,74.2,7.6,513,,0,0,0,0,0,0,0,307,,,,,6.3
2022,일진머티리얼즈(주),산업단지 및 공장지역,공장용지,3지역,34722,0.15m,2.56,1905.6,138.17,0.02,180.7,0,267.4,61,302,,0,0,0,0,0,0,0,152,0,0,,0,6.3
2022,(주)덕산레미콘,산업단지 및 공장지역,잡종지(3지역),3지역,9933,2m,1.73,16.2,5.59,0.05,25.1,0,94.7,12.7,677,,0,0,0,0,0,0,0,578,,,,,6.3
2022,(유)도형아스콘,산업단지 및 공장지역,공장용지,3지역,3178,0.15m,1.53,21.7,3.93,0.01,9.3,0,98.6,5.2,653,,0,0,0,0,0,0,0,699,0,0,,0,7.1
2022,삼양식품,산업단지 및 공장지역,대지(2지역),2지역,28710,0.15m,2.09,11.1,4.23,0.01,16.7,0,75.2,4.6,135,,,0,,,,,,,,,,,7.1
2022,미원상사(주),산업단지 및 공장지역,공장용지,3지역,100830,0.15m,1.78,15.3,6.08,0.02,13.2,0,88.6,6.2,254,,0,0,0,0,0,0,0,242,0,0,,0,7
2022,부송매립장,폐기물 처리 및 재활용 관련 지역,답,1지역,6096,0.15m,1.38,27,9.68,0.03,22.4,0,121.2,6.1,,0,,0,,,,,,,,,,,5.7
2022,금강매립장,폐기물 처리 및 재활용 관련 지역,답,1지역,4000,0.15m,1.59,19.6,4.52,0.03,15.2,0,86.7,8.4,,0,,0,,,,,,,,,,,6.2
