시도,시도명,시군구,시군구명,읍면동,읍면동명,위도,경도,평면직각좌표계_X좌표,평면직각좌표계_Y좌표,지리정보시스템아이디,상태,행정구역최소X좌표,행정구역최소Y좌표,행정구역최대X좌표,행정구역최대Y좌표
11,서울특별시,140,중구,645,청구동,37.55685123,127.0152084,201275.3751,450513.0945,11140645,Y,127.0110398,37.55299468,127.019448,37.56022755
11,서울특별시,140,중구,650,신당5동,37.56365173,127.0218019,201857.8229,451267.9809,11140650,Y,127.0159747,37.56064289,127.0267571,37.56564673
11,서울특별시,140,중구,665,동화동,37.56072926,127.0186329,201577.8921,450943.5633,11140665,Y,127.0137609,37.55748011,127.023355,37.56410564
11,서울특별시,140,중구,670,황학동,37.56852496,127.0207978,201769.0027,451808.839,11140670,Y,127.0174988,37.56515176,127.0235993,37.57192714
11,서울특별시,140,중구,680,중림동,37.55730118,126.9659097,196919.3735,450563.6021,11140680,Y,126.9614682,37.55148614,126.9713839,37.56199593
11,서울특별시,170,용산구,510,후암동,37.54990904,126.9806006,198217.2573,449742.7465,11170510,Y,126.9732748,37.54548795,126.9877961,37.55503907
11,서울특별시,170,용산구,520,용산2가동,37.54030951,126.9835607,198478.6142,448677.2092,11170520,Y,126.9734644,37.52940219,126.9931784,37.55168399
11,서울특별시,170,용산구,530,남영동,37.54531365,126.9735054,197590.1312,449232.8309,11170530,Y,126.9690572,37.53455006,126.9790427,37.55441179
11,서울특별시,170,용산구,555,청파동,37.54768276,126.9670111,197016.286,449496.0091,11170555,Y,126.962118,37.54137128,126.9710211,37.55536619
11,서울특별시,170,용산구,560,원효로제1동,37.53744697,126.9664757,196968.53,448359.9751,11170560,Y,126.9599782,37.53311341,126.9710704,37.54213611
11,서울특별시,170,용산구,570,원효로2동,37.53298163,126.9511917,195617.4122,447865.0084,11170570,Y,126.9435556,37.5273163,126.9616332,37.53782987
11,서울특별시,170,용산구,580,효창동,37.54300871,126.9610582,196489.9947,448977.4658,11170580,Y,126.9564927,37.53851478,126.964869,37.54882281
11,서울특별시,170,용산구,590,용문동,37.53801388,126.9584735,196261.3092,448423.2052,11170590,Y,126.9529766,37.53551892,126.9638429,37.54068704
11,서울특별시,170,용산구,625,한강로동,37.52852926,126.9705179,197325.4663,447370.0819,11170625,Y,126.9544273,37.5196573,126.9837887,37.54030275
11,서울특별시,170,용산구,630,이촌1동,37.51722348,126.9710251,197369.8637,446115.2543,11170630,Y,126.9571834,37.51202417,126.9831759,37.52302312
11,서울특별시,170,용산구,640,이촌2동,37.52324101,126.9539183,195857.874,446783.7619,11170640,Y,126.9463227,37.51539678,126.9617438,37.53147048
11,서울특별시,170,용산구,650,이태원1동,37.53336054,126.9932375,199333.7666,447905.8433,11170650,Y,126.9878706,37.52804179,126.9979121,37.53896293
11,서울특별시,170,용산구,660,이태원2동,37.54174941,126.9921098,199234.1841,448836.923,11170660,Y,126.9867654,37.53425843,126.997847,37.54903852
11,서울특별시,170,용산구,685,한남동,37.53715043,127.005811,200445.1296,448326.4137,11170685,Y,126.9945739,37.52457169,127.0209091,37.55035881
11,서울특별시,170,용산구,690,서빙고동,37.5213083,126.9907639,199114.9574,446568.1911,11170690,Y,126.9824707,37.5126912,127.0003901,37.52944846
11,서울특별시,170,용산구,700,보광동,37.52576285,127.001331,200049.1228,447062.5322,11170700,Y,126.9948104,37.51793261,127.0079569,37.53264367
