파일명,컬럼명,null 수,범주값 길이(고정/가변),상이값 수,유일값 수,최빈값(mode),값 중복도 평균,최댓값,최솟값,평균(mean),중앙값(median),1분위수(1Q),3분위수(3Q),IQR,분산(variance),표준편차(standard deviation),범위(range),왜도(skewness),첨도(kurtosis),대분류,소분류,origin파일명,유사도
3_전국배수펌프장표준데이터.csv,경도,0,,319,319,126.7867332,1.012539184952978,129.2061014,126.3005716,127.82290008770777,128.0525753,126.7978364,128.84079695000003,2.042960527250017,1.0136868483402577,1.0068201668323185,2.9055298016999984,-0.052144419,-1.754265314,농업농촌,농업·농촌,농업농촌_filtered.csv,-0.676535022973848
126_근로복지공단_지사별 진료비 지급현황_20221231.csv,총지급액,0,,64,64,898498280.0,1.0,909462000000.0,898498280.0,28420686622.0,10771689815.0,6486435083.0,18979568615.0,12493133533.0,1.268513046132815e+22,112628284464.10852,908563000000.0,7.839160138634664,62.230188526464666,산업고용,고용노동,산업고용_filtered.csv,-0.676535022973848
3_전국배수펌프장표준데이터.csv,제공기관코드,0,,38,38,5350000.0,8.5,6270000.0,3070000.0,4416078.947368421,4140000.0,3450000.0,5350000.0,1900000.0,842002847008.8234,917607.1310799756,3200000.0,0.3462684577713315,-1.005458482,농업농촌,농업·농촌,농업농촌_filtered.csv,-0.923814777688779
84_충청북도 옥천군_공중위생업소현황_20240808.csv,연번,0,,208,208,1.0,1.0,208.0,1.0,104.5,104.5,52.75,156.25,103.5,3622.6666666666665,60.18859249614221,207.0,0.0,-1.2,식품건강,식품의약안전,식품건강_filtered.csv,-0.923814777688779
3_전국배수펌프장표준데이터.csv,제공기관코드,0,,38,38,5350000.0,8.5,6270000.0,3070000.0,4416078.947368421,4140000.0,3450000.0,5350000.0,1900000.0,842002847008.8234,917607.1310799756,3200000.0,0.3462684577713315,-1.005458482,농업농촌,농업·농촌,농업농촌_filtered.csv,-0.7158318197662509
65_해양경찰청_해상조난사고 상세데이터 현황_20231231.csv,톤수,0,,1018,1018,9.77,3.992141453831042,156336.0,0.0,1002.1996604330708,6.609999999999999,2.0875,29.0,26.9125,53805790.95498638,7335.243074021909,156336.0,12.707594478658285,198.3595310838633,재난안전,해경,재난안전_filtered.csv,-0.7158318197662509
3_전국배수펌프장표준데이터.csv,제공기관코드,0,,38,38,5350000.0,8.5,6270000.0,3070000.0,4416078.947368421,4140000.0,3450000.0,5350000.0,1900000.0,842002847008.8234,917607.1310799756,3200000.0,0.3462684577713315,-1.005458482,농업농촌,농업·농촌,농업농촌_filtered.csv,-0.8528967183291748
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,카드뮴(mg_kg),0,,469,469,0.0,6.375266524520256,33.77,0.0,1.1040702341137123,0.52,0.11,1.6275,1.5174999999999998,2.7465144748246133,1.6572611365818646,33.77,6.697820935917278,101.5752753,환경기상,환경일반,환경기상_filtered.csv,-0.8528967183291748
2_전국관광지정보표준데이터.csv,면적,0,,739,739,0.0,1.108254397834912,47920000.0,0.0,472022.42509152624,21768.0,1845.2,184658.0,182812.8,6210989592207.086,2492185.7058026567,47920000.0,12.675969283645273,199.9301852124531,문화관광,관광,문화관광_filtered.csv,-0.707557945621222
6_국민건강보험공단_건강검진정보_20221231_수정.CSV,HDL콜레스테롤,0,,200,200,51.0,1728.07,871.0,1.0,56.86540041780715,55.0,46.0,65.0,19.0,237.64699188030184,15.415803316087745,870.0,3.958793734297944,139.92077486309964,보건의료,보건의료,보건의료_filtered.csv,-0.707557945621222
2_전국관광지정보표준데이터.csv,위도,0,,799,799,35.04638172,1.0250312891113893,38.51438609,33.23342738,35.98301238147509,35.55690191,35.117233639999995,37.03231915,1.9150855140000047,1.2276751312332952,1.108005023108332,5.28095871,0.3486037560015956,-0.878582646,문화관광,관광,문화관광_filtered.csv,-0.6157574409213687
126_근로복지공단_지사별 진료비 지급현황_20221231.csv,총지급액,0,,64,64,898498280.0,1.0,909462000000.0,898498280.0,28420686622.0,10771689815.0,6486435083.0,18979568615.0,12493133533.0,1.268513046132815e+22,112628284464.10852,908563000000.0,7.839160138634664,62.230188526464666,산업고용,고용노동,산업고용_filtered.csv,-0.6157574409213687
2_전국관광지정보표준데이터.csv,주차가능수,0,,236,236,0.0,3.470338983050848,24000.0,0.0,327.85103785103786,91.0,20.0,298.5,278.5,1201707.1489322938,1096.2240413949576,24000.0,14.524311413807013,282.11036584606853,문화관광,관광,문화관광_filtered.csv,-0.6734096450754977
88_한국의약품안전관리원_노인주의약물_20240813.csv,제품코드,0,,593,593,51700030.0,1.0,698502970.0,51700030.0,629038828.6408094,650303800.0,643308800.0,657200890.0,13892090.0,1.3706307866258514e+16,117073941.87545969,646802940.0,-4.575699588,19.36310375003313,식품건강,식품의약안전,식품건강_filtered.csv,-0.6734096450754977
2_전국관광지정보표준데이터.csv,면적,0,,739,739,0.0,1.108254397834912,47920000.0,0.0,472022.42509152624,21768.0,1845.2,184658.0,182812.8,6210989592207.086,2492185.7058026567,47920000.0,12.675969283645273,199.9301852124531,문화관광,관광,문화관광_filtered.csv,-0.6262680458479113
63_한국소비자원 소비자 위해 정보_20240630.csv,위해자연령,0,,103,103,49.0,153.04854368932038,128.0,0.0,42.83335447855874,49.0,12.0,66.0,54.0,835.4480252626818,28.904117790769565,128.0,-0.03100346,-1.261513592,재난안전,안전관리,재난안전_filtered.csv,-0.6262680458479113
2_전국관광지정보표준데이터.csv,면적,0,,739,739,0.0,1.108254397834912,47920000.0,0.0,472022.42509152624,21768.0,1845.2,184658.0,182812.8,6210989592207.086,2492185.7058026567,47920000.0,12.675969283645273,199.9301852124531,문화관광,관광,문화관광_filtered.csv,-0.7192041220418464
