파일명,컬럼명,null 수,범주값 길이(고정/가변),상이값 수,유일값 수,최빈값(mode),값 중복도 평균,최댓값,최솟값,평균(mean),중앙값(median),1분위수(1Q),3분위수(3Q),IQR,분산(variance),표준편차(standard deviation),범위(range),왜도(skewness),첨도(kurtosis),대분류,소분류
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,암모니아질소 저층,0,,97,97,3.64,1.0,215.33,3.64,29.496082474226803,20.37,11.01,33.66,22.65,1082.3757324097935,32.89947921183242,211.69000000000003,3.626898781802851,16.863998456167092,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,아질산성 질소 표층,0,,89,89,1.88,1.0898876404494382,29.06,0.8,5.725670103092783,4.02,2.58,6.58,4.0,26.889089390034368,5.185469061717982,28.26,2.513645523,7.039572392356126,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,아질산성 질소 저층,0,,90,90,2.04,1.0777777777777775,15.86,0.5,5.715979381443299,4.96,3.15,6.8,3.65,13.464474291237115,3.669396992863693,15.36,1.417066785382177,1.4516044982364007,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,질산성질소 표층,0,,95,95,28.05,1.0210526315789474,649.82,6.37,85.62515463917525,47.98,36.48,81.37,44.89000000000001,11728.497331486258,108.29818711080188,643.45,3.243667841588952,11.82360755400434,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,질산성질소 저층,0,,96,96,54.84,1.0104166666666667,273.38,7.57,80.87494845360824,62.73,42.65,100.54,57.89000000000001,3271.5138273410653,57.19714876933172,265.81,1.4539650596221134,1.9176265999130817,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,용존무기질소 표층,0,,96,96,45.61,1.0104166666666667,675.02,29.39,115.3121649484536,62.95,45.83,114.92,69.09,17911.921854639175,133.83542824917166,645.63,2.905333069941088,8.654517900235057,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,용존무기질소 저층,0,,97,97,33.76,1.0,477.2,33.76,116.0860824742268,98.38,66.17,129.38,63.21,5719.004278243129,75.62409852846598,443.44,2.2357174898994603,6.274840952067722,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,총질소 표층,0,,97,97,117.47,1.0,830.17,117.47,251.34958762886595,204.13,159.36,261.02,101.65999999999995,22101.720039411503,148.66647247920935,712.6999999999999,2.238633439837793,4.999696594788752,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,총질소 저층,0,,95,95,186.24,1.0210526315789474,550.58,143.36,242.2022680412371,217.52,186.24,265.63,79.38999999999999,7357.296648969071,85.77468536,407.22,1.772245270882422,3.0547658964366087,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,용존무기인 표층,0,,95,95,6.85,1.0210526315789474,40.46,2.84,12.202061855670104,11.25,7.27,15.54,8.27,42.132999871134025,6.490993750662068,37.620000000000005,1.582975945347823,3.8915080595019593,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,용존무기인 저층,0,,96,96,8.76,1.0104166666666667,51.69,4.19,16.012061855670105,14.81,10.83,18.55,7.720000000000001,59.66950612113403,7.724603945907779,47.5,1.7786246325914958,5.327570209732265,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,총인 표층,0,,95,95,30.87,1.0210526315789474,57.57,10.95,27.83824742268041,26.49,19.14,34.46,15.32,113.1984771,10.639477294717585,46.620000000000005,0.6444083703759851,-0.093267193,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,총인 저층,0,,96,96,28.95,1.0104166666666667,74.87,11.04,30.40113402061856,29.09,23.76,35.42,11.66,111.10874765893472,10.54081342491815,63.830000000000005,1.0006569194536994,2.445451129604636,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,규산규소 표층,0,,97,97,64.9,1.0,1454.52,64.9,288.3327835051547,253.08,195.23,312.12,116.89,38726.83832,196.7913573313025,1389.62,4.016861539949144,19.842568452158723,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,규산규소 저층,0,,97,97,99.09,1.0,1097.81,99.09,334.1928865979382,305.59,250.91,389.18,138.27,18478.98049783076,135.9374139000399,998.72,2.1641526436672844,9.37941521,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,부유물질 표층,0,,91,91,5.15,1.065934065934066,57.88,3.83,13.997010309278348,9.76,7.89,16.63,8.739999999999998,101.6504232603092,10.082183456985357,54.05,2.1357374605453368,5.239636889164002,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,부유물질 저층,0,,96,96,14.52,1.0104166666666667,78.17,3.93,17.398865979381444,14.3,8.53,19.45,10.92,193.9034789089348,13.92492294086164,74.24,2.596582565313912,7.956178464073792,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,클로로필 표층,0,,86,86,1.13,1.127906976744186,11.96,0.44,2.434432989690721,2.04,1.4,2.81,1.41,3.0105041022336763,1.735080431056058,11.52,2.919315882946902,11.241862672319476,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,클로로필 저층,0,,84,84,0.48,1.1547619047619049,10.27,0.17,1.9904123711340205,1.69,1.01,2.26,1.2499999999999998,2.368885244845361,1.539118333607056,10.1,2.4529705464299902,8.950760149794666,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,투명도 표층,0,,86,86,1.75,1.127906976744186,11.25,0.99,4.648556701030928,3.68,2.2,6.88,4.68,9.396845812,3.065427508824123,10.26,0.8124247087532311,-0.682917524,환경기상,해양환경
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,년도,0,,1,1,2022,3207.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,면적(제곱미터),0,,2291,2291,1781,1.3998254037538194,1586260.0,1.0,27123.49359120673,3967.0,1457.0,14144.0,12687.0,9421985943.685398,97066.91477,1586259.0,8.566249945,95.46436451,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,카드뮴(mg_kg),0,,469,469,0,6.375266524520256,33.77,0.0,1.1040702341137123,0.52,0.11,1.6275,1.5174999999999998,2.7465144748246133,1.6572611365818646,33.77,6.697820935917278,101.5752753,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,구리(mg_kg),0,,736,736,0,4.073369565217392,9667.7,0.0,36.17528352234823,19.2,10.225,33.5,23.275,47915.13244,218.8952544908368,9667.7,35.424485211102166,1424.0990032221926,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,비소(mg_kg),0,,1063,1063,0,2.8203198494825963,422.55,0.0,5.566014009339561,3.97,1.65,6.4275,4.7775,145.1081314205616,12.046083654888072,422.55,19.104943218141507,555.7383637252565,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,수은(mg_kg),0,,66,66,0,45.40909090909091,3.93,0.0,0.040800801,0.02,0.0,0.04,0.04,0.021052963,0.145096393,3.93,15.883275738817428,336.69686289822465,환경기상,환경일반
