진료년도,성별,입원외래구분,행위코드,환자수,명세서청구건수,의료행위총사용량,의료행위청구금액
2023,여,외래,KK153,34862,235441,330308,2147426697
2023,여,외래,KK154,342,1081,1158,9256584
2023,여,외래,KK156,27117,167699,169271,464903444
2023,여,외래,KK157,3169,17377,19394,53342565
2023,여,외래,KK158,13738,99083,99758,215477280
2023,여,외래,KK159,180,803,829,887030
2023,여,외래,KK160,8,9,9,250043
2023,여,외래,KK162,4,6,9,30650
2023,여,외래,KK163,1,1,1,3950
2023,여,외래,KK164,1,1,1,1001
2023,여,외래,KK165,1,1,2,3450
2023,여,외래,KX001,1,1,1,46988
2023,여,외래,L0101,99386,122544,122629.41,11744823329
2023,여,외래,L0102,6253,7636,7961.3,662337261
2023,여,외래,L0103,38891,57858,57848.2,6993323186
2023,여,외래,L0104,2685,3009,4347,127593367
2023,여,외래,L0404,1,1,1,12604
2023,여,외래,L0800,2010299,3231836,3867477.4,7190112560
2023,여,외래,L0901,8711,10112,10255.5,49835456
2023,여,외래,L0902,4237,4974,5078,25053625
2023,여,외래,L0903,2356699,3991391,4115185.8,19371706947
2023,여,외래,L0904,541,687,700,4270814
2023,여,외래,L0905,2458808,4036156,4160590.1,25080791574
